編號,機關構名稱,熱點名稱,熱點類別,縣市名稱,鄉鎮市區,地址,緯度,經度,cos緯度,sin緯度,cos經度,sin經度
21,新竹市政府,新竹市公車(1路[215-U7]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.8031808,120.9720543,0.907754191,0.419502477,-0.514619935,0.857418406
22,新竹市政府,新竹市公車(藍1[FAD-270]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.8031808,120.9720543,0.907754191,0.419502477,-0.514619935,0.857418406
23,新竹市政府,新竹市公車(1路[226-U7]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.8031808,120.9720543,0.907754191,0.419502477,-0.514619935,0.857418406
24,新竹市政府,新竹市公車(1路[227-U7]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.8031808,120.9720543,0.907754191,0.419502477,-0.514619935,0.857418406
25,新竹市政府,新竹市公車(1路[228-U7]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.8031808,120.9720543,0.907754191,0.419502477,-0.514619935,0.857418406
26,新竹市政府,新竹市公車(1路[551-FT]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.8031808,120.9720543,0.907754191,0.419502477,-0.514619935,0.857418406
27,新竹市政府,新竹市公車(1路[813-FL]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.8031808,120.9720543,0.907754191,0.419502477,-0.514619935,0.857418406
28,新竹市政府,新竹市公車(1路[816-FL]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.8031808,120.9720543,0.907754191,0.419502477,-0.514619935,0.857418406
29,新竹市政府,新竹市公車(藍1[FAD-271]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.8031808,120.9720543,0.907754191,0.419502477,-0.514619935,0.857418406
30,新竹市政府,新竹市公車(藍1[FAD-272]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.8031808,120.9720543,0.907754191,0.419502477,-0.514619935,0.857418406
31,新竹市政府,新竹市公車(藍線[FAD-273]),大眾運輸節點,新竹市,東區,300新竹市東區民族路15號,24.803301,120.971699,0.907753311,0.419504382,-0.514614618,0.857421597
32,新竹市政府,新竹市公車(新竹客運-藍線[099-FN]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.8031808,120.9720543,0.907754191,0.419502477,-0.514619935,0.857418406
33,新竹市政府,新竹市公車(新竹客運-藍線[229-U7]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.8031808,120.9720543,0.907754191,0.419502477,-0.514619935,0.857418406
34,新竹市政府,新竹市公車(藍線[FAD-275]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.8031808,120.9720543,0.907754191,0.419502477,-0.514619935,0.857418406
35,新竹市政府,新竹市公車(新竹客運-藍線[537-FD]),大眾運輸節點,新竹市,東區,300新竹市東區民族路15號,24.803301,120.971699,0.907753311,0.419504382,-0.514614618,0.857421597
36,新竹市政府,新竹市公車(新竹客運-藍線[817-FL]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.8031808,120.9720543,0.907754191,0.419502477,-0.514619935,0.857418406
37,新竹市政府,新竹市十八尖山介壽亭,旅遊景點,新竹市,東區,300新竹市東區十八尖山介壽亭,24.792423,120.984578,0.90783294,0.419332031,-0.514807337,0.8573059
38,新竹市政府,新竹市十八尖山佛光岩,旅遊景點,新竹市,東區,300新竹市東區十八尖山佛光岩,24.793572,120.98784,0.907824531,0.419350236,-0.514856145,0.857276589
39,新竹市政府,新竹市十八尖山幸福亭,旅遊景點,新竹市,東區,300新竹市東區十八尖山幸福亭,24.794663,120.98666,0.907816546,0.419367523,-0.514838489,0.857287192
40,新竹市政府,新竹市十八尖山愛林亭,旅遊景點,新竹市,東區,300新竹市東區十八尖山愛林亭,24.79141,120.982819,0.907840354,0.41931598,-0.514781017,0.857321704
41,新竹市政府,新竹市十八尖山獅子亭,旅遊景點,新竹市,東區,300新竹市東區十八尖山獅子亭,24.792209,120.985823,0.907834507,0.41932864,-0.514825966,0.857294713
42,新竹市政府,新竹市大遠百前廣場(右側),旅遊景點,新竹市,東區,300新竹市東區西大路323號,24.802065,120.965288,0.90776236,0.419484799,-0.514518675,0.857479173
